requirement_id,line_number,requirement_text,total_score,avg_severity,risk_count,risk_id,category,severity,severity_name,description,evidence,suggestion
R003,3,The system shall support password reset functionality,16,2.67,6,R003-MIS-001,missing_detail,3,HIGH,Actor 'system' is unspecified or ambiguous,system,"Specify which 'system' (e.g., 'authenticated users', 'system administrators', 'external API')"
R003,3,The system shall support password reset functionality,16,2.67,6,R003-PER-001,performance,3,HIGH,Performance-related feature without measurable performance specification,The system shall support password reset functionality,"Specify response time, throughput, or latency targets"
R003,3,The system shall support password reset functionality,16,2.67,6,R003-AVA-001,availability,2,MEDIUM,Service mention without availability/uptime specification,The system shall support password reset functionality,"Specify uptime target (e.g., 99.9%), maintenance windows, or SLOs"
R003,3,The system shall support password reset functionality,16,2.67,6,R003-TRA-001,traceability,3,HIGH,"No traceability signals found (ID, acceptance criteria, or test reference)",The system shall support password reset functionality,
R004,4,The system shall validate email format during registration,10,2.5,4,R004-AMB-001,ambiguity,2,MEDIUM,Imprecise quantifier 'all' found - specify exact values or criteria,all,"Replace 'all' with specific values (e.g., 'at least 5', 'within 2 seconds', '99.9% uptime')"
R004,4,The system shall validate email format during registration,10,2.5,4,R004-MIS-001,missing_detail,3,HIGH,Actor 'system' is unspecified or ambiguous,system,"Specify which 'system' (e.g., 'authenticated users', 'system administrators', 'external API')"
R004,4,The system shall validate email format during registration,10,2.5,4,R004-AVA-001,availability,2,MEDIUM,Service mention without availability/uptime specification,The system shall validate email format during registration,"Specify uptime target (e.g., 99.9%), maintenance windows, or SLOs"
R004,4,The system shall validate email format during registration,10,2.5,4,R004-TRA-001,traceability,3,HIGH,"No traceability signals found (ID, acceptance criteria, or test reference)",The system shall validate email format during registration,
R005,5,The system shall store user data securely in encrypted format,13,2.6,5,R005-AMB-001,ambiguity,2,MEDIUM,Imprecise quantifier 'all' found - specify exact values or criteria,all,"Replace 'all' with specific values (e.g., 'at least 5', 'within 2 seconds', '99.9% uptime')"
R005,5,The system shall store user data securely in encrypted format,13,2.6,5,R005-MIS-001,missing_detail,3,HIGH,Actor 'user' is unspecified or ambiguous,user,"Specify which 'user' (e.g., 'authenticated users', 'system administrators', 'external API')"
R005,5,The system shall store user data securely in encrypted format,13,2.6,5,R005-MIS-001,missing_detail,3,HIGH,Actor 'system' is unspecified or ambiguous,system,"Specify which 'system' (e.g., 'authenticated users', 'system administrators', 'external API')"
R005,5,The system shall store user data securely in encrypted format,13,2.6,5,R005-AVA-001,availability,2,MEDIUM,Service mention without availability/uptime specification,The system shall store user data securely in encrypted format,"Specify uptime target (e.g., 99.9%), maintenance windows, or SLOs"
R005,5,The system shall store user data securely in encrypted format,13,2.6,5,R005-TRA-001,traceability,3,HIGH,"No traceability signals found (ID, acceptance criteria, or test reference)",The system shall store user data securely in encrypted format,
R006,6,The system shall support multi-factor authentication,17,2.43,7,R006-AMB-001,ambiguity,2,MEDIUM,Imprecise quantifier 'all' found - specify exact values or criteria,all,"Replace 'all' with specific values (e.g., 'at least 5', 'within 2 seconds', '99.9% uptime')"
R006,6,The system shall support multi-factor authentication,17,2.43,7,R006-MIS-001,missing_detail,3,HIGH,Action 'support' lacks sufficient detail about how it should be performed,support,"Specify how 'support' should be performed (e.g., when, where, under what conditions)"
R006,6,The system shall support multi-factor authentication,17,2.43,7,R006-MIS-001,missing_detail,3,HIGH,Actor 'system' is unspecified or ambiguous,system,"Specify which 'system' (e.g., 'authenticated users', 'system administrators', 'external API')"
R006,6,The system shall support multi-factor authentication,17,2.43,7,R006-PER-001,performance,3,HIGH,Performance-related feature without measurable performance specification,The system shall support multi-factor authentication,"Specify response time, throughput, or latency targets"
R006,6,The system shall support multi-factor authentication,17,2.43,7,R006-AVA-001,availability,2,MEDIUM,Service mention without availability/uptime specification,The system shall support multi-factor authentication,"Specify uptime target (e.g., 99.9%), maintenance windows, or SLOs"
R006,6,The system shall support multi-factor authentication,17,2.43,7,R006-TRA-001,traceability,2,MEDIUM,"Missing requirement ID (e.g., R001, REQ-123, ABC-123)",The system shall support multi-factor authentication,"Add a stable identifier (R###, REQ-#, US-#, FR-#, or ABC-123)"
R006,6,The system shall support multi-factor authentication,17,2.43,7,R006-TRA-001,traceability,2,MEDIUM,"Missing test reference (e.g., TC-123, 'Test Case', 'validated by QA')",The system shall support multi-factor authentication,Reference a test artifact (TC-###) or note how it will be verified
R007,7,The system shall log all user activities for audit purposes,13,2.6,5,R007-AMB-001,ambiguity,2,MEDIUM,Imprecise quantifier 'all' found - specify exact values or criteria,all,"Replace 'all' with specific values (e.g., 'at least 5', 'within 2 seconds', '99.9% uptime')"
R007,7,The system shall log all user activities for audit purposes,13,2.6,5,R007-MIS-001,missing_detail,3,HIGH,Actor 'user' is unspecified or ambiguous,user,"Specify which 'user' (e.g., 'authenticated users', 'system administrators', 'external API')"
R007,7,The system shall log all user activities for audit purposes,13,2.6,5,R007-MIS-001,missing_detail,3,HIGH,Actor 'system' is unspecified or ambiguous,system,"Specify which 'system' (e.g., 'authenticated users', 'system administrators', 'external API')"
R007,7,The system shall log all user activities for audit purposes,13,2.6,5,R007-AVA-001,availability,2,MEDIUM,Service mention without availability/uptime specification,The system shall log all user activities for audit purposes,"Specify uptime target (e.g., 99.9%), maintenance windows, or SLOs"
R007,7,The system shall log all user activities for audit purposes,13,2.6,5,R007-TRA-001,traceability,3,HIGH,"No traceability signals found (ID, acceptance criteria, or test reference)",The system shall log all user activities for audit purposes,
R008,8,The system shall handle concurrent user sessions,19,2.71,7,R008-AMB-001,ambiguity,2,MEDIUM,Imprecise quantifier 'all' found - specify exact values or criteria,all,"Replace 'all' with specific values (e.g., 'at least 5', 'within 2 seconds', '99.9% uptime')"
R008,8,The system shall handle concurrent user sessions,19,2.71,7,R008-MIS-001,missing_detail,3,HIGH,Action 'handle' lacks sufficient detail about how it should be performed,handle,"Specify how 'handle' should be performed (e.g., when, where, under what conditions)"
R008,8,The system shall handle concurrent user sessions,19,2.71,7,R008-MIS-001,missing_detail,3,HIGH,Actor 'user' is unspecified or ambiguous,user,"Specify which 'user' (e.g., 'authenticated users', 'system administrators', 'external API')"
R008,8,The system shall handle concurrent user sessions,19,2.71,7,R008-MIS-001,missing_detail,3,HIGH,Actor 'system' is unspecified or ambiguous,system,"Specify which 'system' (e.g., 'authenticated users', 'system administrators', 'external API')"
R008,8,The system shall handle concurrent user sessions,19,2.71,7,R008-PER-001,performance,3,HIGH,Performance-related feature without measurable performance specification,The system shall handle concurrent user sessions,"Specify response time, throughput, or latency targets"
R008,8,The system shall handle concurrent user sessions,19,2.71,7,R008-AVA-001,availability,2,MEDIUM,Service mention without availability/uptime specification,The system shall handle concurrent user sessions,"Specify uptime target (e.g., 99.9%), maintenance windows, or SLOs"
R008,8,The system shall handle concurrent user sessions,19,2.71,7,R008-TRA-001,traceability,3,HIGH,"No traceability signals found (ID, acceptance criteria, or test reference)",The system shall handle concurrent user sessions,
R009,9,The system shall provide role-based access control,17,2.83,6,R009-AMB-001,ambiguity,2,MEDIUM,Imprecise quantifier 'all' found - specify exact values or criteria,all,"Replace 'all' with specific values (e.g., 'at least 5', 'within 2 seconds', '99.9% uptime')"
R009,9,The system shall provide role-based access control,17,2.83,6,R009-MIS-001,missing_detail,3,HIGH,Action 'provide' lacks sufficient detail about how it should be performed,provide,"Specify how 'provide' should be performed (e.g., when, where, under what conditions)"
R009,9,The system shall provide role-based access control,17,2.83,6,R009-MIS-001,missing_detail,3,HIGH,Actor 'system' is unspecified or ambiguous,system,"Specify which 'system' (e.g., 'authenticated users', 'system administrators', 'external API')"
R009,9,The system shall provide role-based access control,17,2.83,6,R009-SEC-001,security,4,CRITICAL,User access feature 'access' mentioned without authentication requirements,access,"Add authentication requirements (e.g., 'users must authenticate before accessing')"
R009,9,The system shall provide role-based access control,17,2.83,6,R009-AVA-001,availability,2,MEDIUM,Service mention without availability/uptime specification,The system shall provide role-based access control,"Specify uptime target (e.g., 99.9%), maintenance windows, or SLOs"
R009,9,The system shall provide role-based access control,17,2.83,6,R009-TRA-001,traceability,3,HIGH,"No traceability signals found (ID, acceptance criteria, or test reference)",The system shall provide role-based access control,
R010,10,The system shall integrate with external authentication providers,14,2.33,6,R010-AMB-001,ambiguity,2,MEDIUM,Imprecise quantifier 'all' found - specify exact values or criteria,all,"Replace 'all' with specific values (e.g., 'at least 5', 'within 2 seconds', '99.9% uptime')"
R010,10,The system shall integrate with external authentication providers,14,2.33,6,R010-MIS-001,missing_detail,3,HIGH,Action 'provide' lacks sufficient detail about how it should be performed,provide,"Specify how 'provide' should be performed (e.g., when, where, under what conditions)"
R010,10,The system shall integrate with external authentication providers,14,2.33,6,R010-MIS-001,missing_detail,3,HIGH,Actor 'system' is unspecified or ambiguous,system,"Specify which 'system' (e.g., 'authenticated users', 'system administrators', 'external API')"
R010,10,The system shall integrate with external authentication providers,14,2.33,6,R010-AVA-001,availability,2,MEDIUM,Service mention without availability/uptime specification,The system shall integrate with external authentication providers,"Specify uptime target (e.g., 99.9%), maintenance windows, or SLOs"
R010,10,The system shall integrate with external authentication providers,14,2.33,6,R010-TRA-001,traceability,2,MEDIUM,"Missing requirement ID (e.g., R001, REQ-123, ABC-123)",The system shall integrate with external authentication providers,"Add a stable identifier (R###, REQ-#, US-#, FR-#, or ABC-123)"
R010,10,The system shall integrate with external authentication providers,14,2.33,6,R010-TRA-001,traceability,2,MEDIUM,"Missing test reference (e.g., TC-123, 'Test Case', 'validated by QA')",The system shall integrate with external authentication providers,Reference a test artifact (TC-###) or note how it will be verified
